"","gender","anger","S1DoCurse","S1DoScold","S1DoShout","S1WantCurse","S1WantScold","S1WantShout","S2DoCurse","S2DoScold","S2DoShout","S2WantCurse","S2WantScold","S2WantShout","S3DoCurse","S3DoScold","S3DoShout","S3WantCurse","S3WantScold","S3WantShout","S4DoCurse","S4DoScold","S4DoShout","S4WantCurse","S4WantScold","S4WantShout"
"26","Female",19,1,1,0,1,1,0,1,0,0,2,2,0,1,0,0,1,0,0,1,1,0,1,0,0
"27","Female",25,1,1,1,2,2,1,1,0,0,2,2,1,1,0,0,1,0,0,2,0,0,2,0,0
"28","Female",22,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"29","Male",23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"30","Female",21,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,1,0,0
"31","Female",13,2,0,1,2,0,2,2,0,1,2,0,2,1,0,0,1,0,0,2,0,0,2,0,0
"32","Female",16,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"33","Female",21,0,0,0,2,1,0,1,0,0,2,1,1,0,0,0,1,0,0,1,1,0,2,1,0
"34","Female",15,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"35","Male",36,1,2,0,2,0,1,1,2,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"36","Female",23,2,2,0,2,2,0,2,2,0,2,2,0,1,2,0,2,2,0,1,1,0,1,1,0
"37","Female",17,0,0,1,2,1,1,1,2,1,2,2,1,0,0,0,1,0,0,1,1,1,2,1,0
"38","Female",14,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,2,0,0
"39","Female",29,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,1
"40","Female",24,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"41","Female",15,1,1,0,2,2,1,1,1,0,2,2,0,0,0,0,1,1,0,1,1,0,2,1,0
"42","Female",25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1
"43","Female",17,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0
"44","Male",17,1,1,1,0,2,0,2,0,0,0,0,1,2,1,0,2,0,0,2,1,0,2,0,0
"45","Male",28,1,1,0,1,1,0,1,1,0,1,1,0,2,1,0,2,1,0,2,0,0,2,0,1
"46","Male",22,2,2,1,2,2,2,2,2,1,2,2,2,1,1,0,1,2,1,0,2,0,1,0,0
"47","Female",15,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Female",19,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0
"49","Female",26,2,2,1,2,2,0,2,2,1,2,2,0,2,0,0,2,0,0,2,2,1,2,2,0
"50","Female",18,2,0,1,2,1,1,2,0,1,1,2,2,0,0,0,0,0,1,2,2,0,2,2,0
"51","Female",11,2,1,0,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,2,2,0,2,2,0
"52","Female",25,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1
"53","Female",28,2,0,0,2,0,0,1,0,0,2,2,1,2,0,0,2,0,0,1,0,0,2,1,0
"54","Female",25,2,2,0,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0
"55","Female",14,1,0,1,0,1,1,1,1,2,2,1,2,0,0,0,0,0,0,1,1,0,1,1,0
"56","Female",17,2,2,0,2,2,0,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,2,0,0
"57","Female",16,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
"58","Female",18,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"59","Male",22,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,2,1,1
"60","Female",17,2,2,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
"61","Male",15,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,1,1,0,2,1,0,1,1,0
"62","Male",16,1,1,0,1,1,0,2,1,1,2,1,1,1,1,0,1,1,0,2,0,1,2,0,0
"63","Male",22,0,2,1,1,2,1,0,1,1,1,1,0,1,0,1,1,2,2,2,2,1,1,0,0
"64","Female",21,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"65","Female",19,2,0,0,2,0,0,2,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
"66","Female",21,2,2,0,2,2,0,2,2,0,2,0,0,2,2,0,2,2,0,2,2,0,2,2,0
"67","Female",16,1,0,0,0,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0
"68","Female",18,1,1,2,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0
"69","Female",17,2,2,1,2,2,2,1,1,1,2,1,2,0,0,0,1,1,0,1,1,0,1,1,1
"70","Male",15,2,1,1,1,1,1,2,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
"71","Male",27,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,2,1,1,0,0,0,0,0
"72","Male",21,2,0,0,2,1,0,2,0,0,2,2,2,2,0,0,2,0,1,2,0,0,2,2,0
"73","Female",19,2,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,2,0,0,2,0,0
"74","Female",17,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,0,1,1,0,2,2,0
"75","Female",21,2,2,0,1,1,0,0,0,0,2,2,1,2,0,0,2,0,0,2,1,1,1,2,0
"76","Male",24,2,2,0,1,1,0,2,2,0,2,1,0,0,0,0,0,0,0,2,1,0,1,1,0
"77","Female",20,2,0,0,2,0,0,2,1,0,2,1,1,2,0,0,0,0,0,2,0,0,2,0,0
"78","Male",16,2,1,0,2,2,1,2,1,0,2,2,0,0,0,0,0,0,0,2,1,0,0,2,0
"79","Female",23,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,2,1,1,0,0
"80","Female",14,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0
"81","Female",14,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1
"82","Male",20,1,1,1,1,0,0,1,1,0,1,1,0,2,0,1,2,1,2,1,0,0,1,2,0
"83","Female",23,1,0,0,0,2,0,2,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,2,0
"84","Male",23,0,0,0,0,0,1,2,0,1,0,0,2,1,0,0,2,0,0,2,0,0,1,0,2
"85","Female",23,2,1,1,1,1,1,2,0,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0
"86","Female",23,2,1,0,2,0,1,2,2,0,2,2,2,1,0,0,2,1,0,1,0,0,2,1,1
"87","Male",18,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,0,1,1,1
"88","Female",22,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2,1
"89","Female",20,1,0,2,0,0,1,2,0,2,1,0,2,1,0,0,0,1,1,1,0,1,1,0,2
"90","Female",16,1,0,1,1,0,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"91","Female",23,0,1,1,2,2,0,2,2,1,2,2,2,0,0,0,1,1,0,1,0,0,2,1,2
"92","Male",16,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"93","Female",18,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,2,0,2,2,0
"94","Female",12,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0
"95","Female",17,2,2,0,2,2,0,2,1,0,1,1,0,0,0,0,1,0,0,2,0,1,1,0,1
"96","Female",21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2
"97","Female",21,0,1,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
"98","Female",16,1,1,0,0,1,0,2,2,0,1,1,1,0,0,0,0,0,0,1,1,1,1,2,0
"99","Male",19,2,1,0,0,1,0,2,1,0,1,1,1,2,0,0,0,0,0,1,1,0,1,1,0
"100","Male",19,1,1,0,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0
"101","Female",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Male",13,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0
"103","Male",31,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"104","Female",23,1,0,0,1,0,0,2,2,0,2,2,1,0,0,0,0,0,0,1,1,0,2,2,0
"105","Female",25,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0
"106","Female",19,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"107","Female",11,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
"108","Female",28,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2
"109","Female",27,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"110","Male",16,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0
"111","Male",16,2,1,0,0,0,0,1,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0
"112","Male",11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"113","Female",25,1,0,1,1,1,1,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"114","Female",16,1,2,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2
"115","Female",13,1,1,1,2,2,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2
"116","Male",21,2,2,2,2,2,2,1,2,0,0,2,0,0,0,0,2,0,0,1,1,0,1,1,0
"117","Male",19,2,2,1,2,2,1,2,2,0,2,2,0,2,1,0,2,2,0,2,1,0,1,1,0
"118","Female",20,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"119","Male",13,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"120","Male",15,1,0,0,1,1,0,1,1,0,2,2,0,1,0,0,1,0,0,1,0,0,2,0,0
"121","Female",14,2,2,1,2,2,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
"122","Female",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"123","Male",23,2,2,1,2,2,2,2,2,2,2,2,1,1,1,0,2,2,0,2,2,0,2,2,1
"124","Female",22,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"125","Male",13,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,2,1,0,1,1,0
"126","Male",21,1,2,0,1,1,0,1,1,0,2,1,1,0,0,0,0,1,0,1,1,1,1,1,1
"127","Female",19,1,1,1,2,2,1,1,1,1,2,2,1,1,0,1,0,1,0,1,1,1,1,2,1
"128","Female",23,0,1,1,1,1,1,2,2,0,2,0,1,1,0,0,0,0,0,1,2,0,0,2,1
"129","Male",20,2,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"130","Male",19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"131","Female",14,2,1,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Male",18,1,1,0,1,1,1,1,1,0,2,2,1,1,1,0,2,2,0,1,1,0,0,0,0
"133","Male",22,0,0,0,2,2,1,2,1,0,1,2,1,1,1,0,2,2,0,1,0,0,1,1,1
"134","Male",23,1,1,1,1,0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"135","Female",15,2,2,2,2,2,2,1,2,0,1,1,2,1,2,0,2,1,1,1,2,0,1,1,2
"136","Male",24,2,2,2,2,2,1,2,1,2,2,2,2,1,0,0,1,1,0,2,2,0,2,2,0
"137","Female",20,1,1,1,1,1,1,2,2,1,2,1,2,0,0,0,1,1,1,2,2,1,2,2,2
"138","Female",22,1,1,0,2,2,1,2,2,1,2,2,1,1,1,0,1,1,0,2,2,1,2,2,1
"139","Female",19,1,1,0,1,1,0,2,0,0,2,2,0,0,0,0,2,0,0,1,0,0,1,1,0
"140","Female",19,2,2,1,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0
"141","Male",11,2,2,0,0,2,1,2,2,0,0,2,0,2,2,0,0,0,2,2,2,0,2,0,0
"142","Female",26,0,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0
"143","Female",19,1,1,1,0,2,2,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,1,2,1
"144","Male",11,2,2,1,2,2,1,2,2,0,2,2,0,1,0,0,1,0,0,1,0,0,2,0,0
"145","Female",13,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1
"146","Female",26,2,2,2,2,2,1,1,2,2,2,1,2,1,2,0,2,1,2,1,2,0,1,1,2
"147","Female",19,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1
"148","Female",17,1,0,0,2,1,1,2,0,0,2,1,1,2,0,0,1,1,1,1,0,0,1,0,1
"149","Male",16,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"150","Female",18,1,1,1,2,2,2,0,0,0,2,2,1,1,1,0,1,1,0,1,1,0,1,1,0
"151","Male",27,2,1,1,2,1,1,2,0,1,2,1,1,0,0,0,1,1,0,2,1,0,2,1,0
"152","Female",18,1,1,0,1,1,1,2,2,1,2,2,2,1,1,0,1,2,0,1,0,0,1,1,0
"153","Female",17,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"154","Female",20,2,1,0,2,2,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"155","Female",18,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"156","Female",14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"157","Female",13,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
"158","Female",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Female",18,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Female",15,2,1,1,2,2,1,1,1,1,2,1,1,1,1,0,1,1,1,0,0,0,2,1,0
"161","Female",18,2,1,0,1,1,1,0,1,0,1,2,1,0,0,0,1,1,1,0,1,0,1,1,0
"162","Female",27,2,2,2,2,2,1,2,2,0,2,2,2,0,0,0,0,0,0,2,2,0,2,2,2
"163","Female",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"164","Female",18,2,2,0,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Male",30,2,2,0,0,0,0,2,2,2,2,2,2,0,1,1,1,1,1,2,2,0,0,0,0
"166","Female",13,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Male",22,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"168","Female",33,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0
"169","Female",19,2,2,2,2,2,2,1,0,0,2,1,1,2,1,0,0,1,0,0,0,0,1,0,0
"170","Female",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Female",34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,0,2,2,2,2,2,2
"172","Female",19,1,1,0,1,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"173","Male",23,1,0,0,2,0,0,2,1,0,2,2,0,1,0,0,1,1,0,1,0,0,2,1,0
"174","Female",21,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,1,0,0,1,1,0,1,1,1
"175","Female",18,0,0,0,1,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0
"176","Female",18,2,2,1,1,1,2,0,2,1,1,2,0,1,0,0,1,1,0,0,0,0,1,1,0
"177","Male",15,1,0,0,1,0,0,2,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"178","Male",21,2,2,1,2,2,1,2,1,1,2,1,2,1,0,0,2,1,0,2,1,1,2,1,1
"179","Female",17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0
"180","Female",26,2,2,2,0,2,2,2,2,2,2,1,1,1,1,0,1,1,2,2,2,2,2,2,1
"181","Female",19,0,0,0,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1
"182","Female",34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"183","Female",20,2,2,2,2,2,2,1,1,2,2,2,2,1,1,0,1,1,1,2,1,0,1,2,2
"184","Female",21,2,2,1,2,2,1,2,1,1,2,2,2,2,0,0,2,0,0,2,2,2,2,2,2
"185","Female",26,1,1,0,1,1,0,1,1,1,1,2,2,1,1,0,1,2,0,0,0,0,0,0,0
"186","Female",23,2,2,0,2,2,0,2,1,0,2,2,1,1,0,0,1,1,0,2,0,0,2,0,0
"187","Female",14,0,0,0,1,2,0,1,1,0,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0
"188","Female",23,2,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"189","Female",17,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1
"190","Female",17,0,0,0,2,2,0,0,0,0,2,2,1,0,0,0,2,0,0,2,0,0,0,0,0
"191","Female",18,1,0,0,2,2,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0
"192","Female",19,1,1,0,2,0,0,1,1,0,2,1,0,1,1,0,1,1,0,2,2,0,2,2,0
"193","Female",25,1,1,1,2,2,2,1,1,0,2,2,2,2,1,0,2,2,1,1,0,0,2,2,2
"194","Male",20,2,2,0,2,2,2,1,1,0,1,2,2,0,0,0,0,2,0,1,1,0,1,1,1
"195","Female",26,2,2,0,2,2,0,2,1,0,2,2,0,2,1,0,2,1,0,2,0,0,2,0,0
"196","Female",21,1,1,0,2,2,2,1,1,0,2,1,1,1,1,0,1,1,0,1,0,0,2,0,0
"197","Female",15,1,0,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,2,0,0
"198","Female",18,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1
"199","Female",21,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2,1,1,0,0,0,2,0,0
"200","Female",17,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"201","Female",22,1,1,2,2,2,2,0,1,1,2,2,2,0,0,1,1,1,1,0,0,1,0,1,1
"202","Female",15,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0
"203","Female",22,2,2,0,2,2,1,2,1,0,2,2,1,1,1,0,2,2,0,2,0,0,2,2,2
"204","Male",19,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
"205","Male",19,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
"206","Female",18,1,1,0,1,1,1,2,2,0,2,2,2,0,0,0,1,1,0,1,1,0,2,2,2
"207","Female",18,0,1,0,1,2,2,2,2,0,2,2,0,1,2,0,2,1,1,0,2,0,2,2,0
"208","Male",16,2,2,1,0,2,1,2,2,0,2,2,0,0,1,0,0,0,0,1,1,0,2,1,0
"209","Female",22,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"210","Female",19,1,1,0,2,0,2,0,0,0,2,2,2,2,0,0,2,0,1,2,0,0,2,2,2
"211","Female",25,2,2,0,2,2,1,2,0,0,2,2,2,2,0,0,2,0,1,2,0,0,2,0,0
"212","Male",21,2,2,0,1,1,1,2,0,0,1,0,1,2,0,0,0,0,0,2,1,0,1,0,1
"213","Male",17,1,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,1,0,0
"214","Female",30,2,0,0,2,0,1,2,0,2,2,2,2,1,0,0,1,0,0,2,0,2,2,0,2
"215","Female",29,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,1,0,0,0,1,1,2,2
"216","Female",27,2,2,2,2,2,2,0,1,1,1,1,1,1,0,0,2,1,1,1,1,0,1,1,1
"217","Female",18,1,1,1,1,1,1,2,2,2,1,2,2,1,0,0,1,0,0,1,0,1,1,1,1
"218","Female",27,2,0,0,2,2,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0
"219","Female",31,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Female",19,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"221","Male",18,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"222","Female",17,0,1,0,0,2,1,0,2,0,0,2,2,0,0,0,0,1,0,1,1,1,0,1,1
"223","Female",17,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"224","Female",17,1,1,1,2,0,1,1,1,0,2,0,2,1,1,0,0,1,1,2,2,1,1,0,0
"225","Female",15,0,1,1,1,1,0,0,1,0,1,2,0,0,2,1,2,0,0,0,0,0,2,0,0
"226","Female",20,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"227","Female",24,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
"228","Male",12,2,2,0,2,1,1,2,2,0,2,0,0,2,1,0,1,2,0,2,1,0,2,0,0
"229","Male",16,0,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
"230","Female",20,1,1,0,2,2,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
"231","Male",33,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,2,0,2,2,2,1,2,1
"232","Female",17,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,2,0,0,2,0,0
"233","Female",13,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1
"234","Female",14,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"235","Female",19,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,2,1,2
"236","Female",23,2,2,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,0,0
"237","Male",24,1,1,0,2,2,1,2,0,2,2,2,0,1,1,0,1,1,0,0,0,0,0,2,0
"238","Male",17,1,1,1,2,2,2,2,2,1,2,2,2,1,0,0,2,0,1,0,0,0,0,0,0
"239","Female",20,2,0,0,2,2,0,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,1,2,0
"240","Female",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Female",23,0,0,0,2,2,0,1,0,0,2,2,0,1,0,0,2,0,0,1,1,0,1,1,0
"242","Female",12,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"243","Male",18,2,2,2,1,1,1,2,1,0,1,1,0,2,0,1,1,1,1,2,1,1,2,0,2
