person_id;item_id;booklet_id;response;geslacht
p388;i2;1;0;2
p391;i2;1;1;1
p394;i2;1;1;1
p397;i2;1;1;1
p400;i2;1;1;1
p403;i2;1;1;1
p406;i2;1;1;2
p409;i2;1;0;1
p412;i2;1;0;2
p415;i2;1;1;1
p418;i2;1;0;2
p421;i2;1;1;2
p424;i2;1;1;1
p427;i2;1;0;1
p430;i2;1;0;1
p433;i2;1;1;1
p436;i2;1;1;2
p439;i2;1;1;2
p442;i2;1;1;2
p445;i2;1;0;1
p448;i2;1;0;2
p451;i2;1;1;2
p454;i2;1;0;2
p457;i2;1;0;1
p460;i2;1;1;2
p463;i2;1;0;1
p466;i2;1;0;1
p469;i2;1;1;1
p472;i2;1;0;1
p475;i2;1;1;1
p478;i2;1;1;2
p481;i2;1;1;1
p484;i2;1;0;2
p487;i2;1;1;1
p490;i2;1;1;1
p493;i2;1;1;2
p496;i2;1;1;2
p499;i2;1;1;2
p502;i2;1;0;1
p505;i2;1;1;1
p508;i2;1;0;1
p511;i2;1;1;1
p514;i2;1;1;1
p517;i2;1;1;1
p520;i2;1;0;1
p523;i2;1;1;1
p526;i2;1;1;1
p529;i2;1;1;2
p532;i2;1;0;1
p535;i2;1;0;1
p538;i2;1;1;2
p541;i2;1;1;2
p544;i2;1;1;1
p547;i2;1;1;1
p550;i2;1;1;1
p553;i2;1;1;2
p556;i2;1;1;2
p559;i2;1;1;2
p562;i2;1;0;1
p565;i2;1;0;2
p568;i2;1;0;1
p571;i2;1;1;2
p574;i2;1;0;2
p577;i2;1;1;2
p580;i2;1;1;1
p583;i2;1;1;2
p586;i2;1;1;2
p589;i2;1;1;2
p592;i2;1;0;2
p595;i2;1;1;1
p598;i2;1;0;2
p601;i2;1;1;1
p604;i2;1;1;1
p607;i2;1;0;1
p610;i2;1;1;1
p613;i2;1;0;1
p616;i2;1;0;1
p619;i2;1;1;2
p622;i2;1;0;1
p625;i2;1;1;2
p628;i2;1;0;1
p631;i2;1;1;1
p634;i2;1;0;1
p637;i2;1;1;2
p640;i2;1;1;2
p643;i2;1;1;2
p646;i2;1;0;2
p649;i2;1;0;2
p652;i2;1;1;1
p655;i2;1;1;2
p658;i2;1;1;1
p661;i2;1;0;1
p664;i2;1;1;2
p667;i2;1;1;2
p670;i2;1;0;2
p673;i2;1;1;2
p676;i2;1;1;1
p679;i2;1;0;1
p682;i2;1;1;2
p685;i2;1;1;1
p688;i2;1;0;1
p691;i2;1;1;1
p694;i2;1;1;2
p697;i2;1;1;1
p700;i2;1;1;2
p703;i2;1;1;1
p706;i2;1;0;1
p709;i2;1;1;1
p712;i2;1;0;1
p715;i2;1;1;1
p718;i2;1;0;2
p721;i2;1;1;1
p724;i2;1;1;2
p727;i2;1;1;2
p730;i2;1;1;2
p733;i2;1;1;2
p736;i2;1;1;1
p739;i2;1;0;1
p742;i2;1;1;2
p745;i2;1;0;2
p748;i2;1;1;2
p751;i2;1;1;2
p754;i2;1;1;2
p757;i2;1;1;2
p760;i2;1;0;2
p763;i2;1;0;2
p766;i2;1;1;2
p769;i2;1;1;1
p772;i2;1;1;2
p775;i2;1;1;2
p778;i2;1;0;1
p781;i2;1;1;1
p784;i2;1;1;2
p787;i2;1;1;1
p790;i2;1;1;2
p793;i2;1;1;2
p796;i2;1;1;1
p799;i2;1;1;1
p802;i2;1;0;1
p805;i2;1;0;1
p808;i2;1;1;2
p811;i2;1;1;2
p814;i2;1;1;2
p817;i2;1;0;1
p820;i2;1;1;2
p823;i2;1;1;1
p826;i2;1;0;2
p829;i2;1;0;1
p832;i2;1;1;1
p835;i2;1;1;2
p838;i2;1;1;2
p841;i2;1;1;2
p844;i2;1;1;2
p847;i2;1;1;2
p850;i2;1;1;1
p853;i2;1;1;1
p856;i2;1;1;2
p859;i2;1;1;1
p862;i2;1;1;1
p865;i2;1;1;2
p868;i2;1;1;1
p871;i2;1;1;2
p874;i2;1;0;2
p877;i2;1;1;2
p880;i2;1;1;2
p883;i2;1;1;1
p886;i2;1;1;1
p889;i2;1;1;1
p892;i2;1;1;1
p895;i2;1;1;2
p898;i2;1;1;1
p901;i2;1;0;1
p904;i2;1;1;1
p907;i2;1;0;2
p910;i2;1;1;1
p913;i2;1;1;2
p916;i2;1;0;1
p919;i2;1;1;2
p922;i2;1;1;1
p925;i2;1;1;2
p928;i2;1;0;1
p931;i2;1;0;2
p934;i2;1;1;1
p937;i2;1;1;2
p940;i2;1;1;2
p943;i2;1;1;2
p946;i2;1;1;1
p949;i2;1;1;1
p952;i2;1;1;1
p955;i2;1;1;2
p958;i2;1;1;2
p961;i2;1;1;2
p964;i2;1;1;2
p967;i2;1;1;2
p970;i2;1;1;2
p973;i2;1;1;2
p976;i2;1;1;2
p979;i2;1;1;2
p982;i2;1;0;2
p985;i2;1;1;1
p988;i2;1;0;1
p991;i2;1;0;2
p994;i2;1;0;1
p997;i2;1;1;1
p1000;i2;1;0;1
p1;i3;1;1;1
p4;i3;1;1;1
p7;i3;1;0;1
p10;i3;1;1;2
p13;i3;1;1;1
p16;i3;1;1;2
p19;i3;1;1;2
p22;i3;1;1;1
p25;i3;1;1;2
p28;i3;1;0;1
p31;i3;1;1;1
p34;i3;1;1;2
p37;i3;1;1;1
p40;i3;1;1;1
p43;i3;1;1;2
p46;i3;1;1;1
p49;i3;1;1;2
p52;i3;1;0;1
p55;i3;1;1;1
p58;i3;1;1;2
p61;i3;1;1;2
p64;i3;1;1;2
p67;i3;1;1;2
p70;i3;1;1;2
p73;i3;1;1;2
p76;i3;1;1;1
p79;i3;1;1;1
p82;i3;1;0;2
p85;i3;1;1;2
p88;i3;1;1;1
p91;i3;1;1;1
p94;i3;1;0;2
p97;i3;1;0;1
p100;i3;1;0;2
p103;i3;1;0;2
p106;i3;1;0;2
p109;i3;1;1;2
p112;i3;1;1;2
p115;i3;1;1;2
p118;i3;1;1;2
p121;i3;1;0;1
p124;i3;1;0;2
p127;i3;1;1;1
p130;i3;1;0;2
p133;i3;1;1;2
p136;i3;1;1;2
p139;i3;1;1;1
p142;i3;1;1;2
p145;i3;1;1;1
p148;i3;1;0;2
p151;i3;1;1;1
p154;i3;1;0;2
p157;i3;1;1;2
p160;i3;1;1;1
p163;i3;1;0;1
p166;i3;1;1;1
p169;i3;1;0;1
p172;i3;1;1;2
p175;i3;1;0;2
p178;i3;1;0;1
p181;i3;1;1;2
p184;i3;1;1;2
p187;i3;1;0;1
p190;i3;1;1;1
p193;i3;1;1;2
p196;i3;1;1;1
p199;i3;1;1;1
p202;i3;1;0;2
p205;i3;1;0;1
p208;i3;1;0;2
p211;i3;1;1;1
p214;i3;1;1;1
p217;i3;1;1;1
p220;i3;1;0;1
p223;i3;1;1;1
p226;i3;1;0;2
p229;i3;1;1;1
p232;i3;1;0;1
p235;i3;1;1;1
p238;i3;1;1;1
p241;i3;1;0;2
p244;i3;1;0;2
p247;i3;1;0;1
p250;i3;1;0;2
p253;i3;1;0;2
p256;i3;1;0;2
p259;i3;1;1;2
p262;i3;1;0;2
p265;i3;1;0;1
p268;i3;1;1;1
p271;i3;1;1;1
p274;i3;1;1;2
p277;i3;1;1;1
p280;i3;1;1;2
p283;i3;1;1;2
p286;i3;1;0;2
p289;i3;1;1;1
p292;i3;1;0;1
p295;i3;1;1;1
p298;i3;1;0;2
p301;i3;1;1;2
p304;i3;1;0;2
p307;i3;1;1;1
p310;i3;1;1;1
p313;i3;1;1;1
p316;i3;1;0;2
p319;i3;1;1;2
p322;i3;1;1;2
p325;i3;1;1;2
p328;i3;1;0;2
p331;i3;1;0;1
p334;i3;1;0;1
p337;i3;1;1;1
p340;i3;1;1;2
p343;i3;1;0;1
p346;i3;1;1;1
p349;i3;1;1;1
p352;i3;1;0;1
p355;i3;1;1;2
p358;i3;1;1;2
p361;i3;1;1;1
p364;i3;1;0;1
p367;i3;1;1;2
p370;i3;1;0;1
p373;i3;1;1;2
p376;i3;1;1;1
p379;i3;1;1;1
p382;i3;1;1;2
p385;i3;1;1;1
p388;i3;1;1;2
p391;i3;1;0;1
p394;i3;1;0;1
p397;i3;1;1;1
p400;i3;1;0;1
p403;i3;1;0;1
p406;i3;1;1;2
p409;i3;1;1;1
p412;i3;1;1;2
p415;i3;1;1;1
p418;i3;1;1;2
p421;i3;1;1;2
p424;i3;1;1;1
p427;i3;1;1;1
p430;i3;1;0;1
p433;i3;1;1;1
p436;i3;1;0;2
p439;i3;1;1;2
p442;i3;1;1;2
p445;i3;1;0;1
p448;i3;1;0;2
p451;i3;1;1;2
p454;i3;1;0;2
p457;i3;1;1;1
p460;i3;1;1;2
p463;i3;1;1;1
p466;i3;1;1;1
p469;i3;1;1;1
p472;i3;1;1;1
p475;i3;1;1;1
p478;i3;1;1;2
p481;i3;1;1;1
p484;i3;1;1;2
p487;i3;1;1;1
p490;i3;1;1;1
p493;i3;1;1;2
p496;i3;1;1;2
p499;i3;1;1;2
p502;i3;1;0;1
p505;i3;1;1;1
p508;i3;1;0;1
p511;i3;1;1;1
p514;i3;1;1;1
p517;i3;1;1;1
p520;i3;1;0;1
p523;i3;1;0;1
p526;i3;1;0;1
p529;i3;1;1;2
p532;i3;1;0;1
p535;i3;1;1;1
p538;i3;1;1;2
p541;i3;1;1;2
p544;i3;1;0;1
p547;i3;1;1;1
p550;i3;1;1;1
p553;i3;1;1;2
p556;i3;1;1;2
p559;i3;1;1;2
p562;i3;1;1;1
p565;i3;1;0;2
p568;i3;1;1;1
p571;i3;1;0;2
p574;i3;1;1;2
p577;i3;1;1;2
p580;i3;1;1;1
p583;i3;1;1;2
p586;i3;1;0;2
p589;i3;1;1;2
p592;i3;1;0;2
p595;i3;1;1;1
p598;i3;1;0;2
p601;i3;1;0;1
p604;i3;1;1;1
p607;i3;1;0;1
p610;i3;1;1;1
p613;i3;1;0;1
p616;i3;1;1;1
p619;i3;1;1;2
p622;i3;1;0;1
p625;i3;1;1;2
p628;i3;1;0;1
p631;i3;1;0;1
p634;i3;1;0;1
p637;i3;1;1;2
p640;i3;1;0;2
p643;i3;1;1;2
p646;i3;1;1;2
p649;i3;1;1;2
p652;i3;1;0;1
p655;i3;1;1;2
p658;i3;1;1;1
p661;i3;1;0;1
p664;i3;1;1;2
p667;i3;1;1;2
p670;i3;1;1;2
p673;i3;1;0;2
p676;i3;1;1;1
p679;i3;1;1;1
p682;i3;1;1;2
p685;i3;1;1;1
p688;i3;1;1;1
p691;i3;1;1;1
p694;i3;1;0;2
p697;i3;1;0;1
p700;i3;1;1;2
p703;i3;1;1;1
p706;i3;1;1;1
p709;i3;1;1;1
p712;i3;1;1;1
p715;i3;1;1;1
p718;i3;1;1;2
p721;i3;1;1;1
p724;i3;1;1;2
p727;i3;1;1;2
p730;i3;1;1;2
p733;i3;1;1;2
p736;i3;1;1;1
p739;i3;1;1;1
p742;i3;1;1;2
p745;i3;1;1;2
p748;i3;1;1;2
p751;i3;1;1;2
p754;i3;1;1;2
p757;i3;1;0;2
p760;i3;1;0;2
p763;i3;1;0;2
p766;i3;1;0;2
p769;i3;1;1;1
p772;i3;1;1;2
p775;i3;1;1;2
p778;i3;1;1;1
p781;i3;1;1;1
p784;i3;1;1;2
p787;i3;1;1;1
p790;i3;1;1;2
p793;i3;1;1;2
p796;i3;1;1;1
p799;i3;1;1;1
p802;i3;1;0;1
p805;i3;1;0;1
p808;i3;1;0;2
p811;i3;1;1;2
p814;i3;1;0;2
p817;i3;1;0;1
p820;i3;1;1;2
p823;i3;1;1;1
p826;i3;1;1;2
p829;i3;1;1;1
p832;i3;1;0;1
p835;i3;1;1;2
p838;i3;1;1;2
p841;i3;1;1;2
p844;i3;1;0;2
p847;i3;1;1;2
p850;i3;1;1;1
p853;i3;1;1;1
p856;i3;1;1;2
p859;i3;1;1;1
p862;i3;1;1;1
p865;i3;1;1;2
p868;i3;1;1;1
p871;i3;1;0;2
p874;i3;1;1;2
p877;i3;1;1;2
p880;i3;1;1;2
p883;i3;1;0;1
p886;i3;1;0;1
p889;i3;1;0;1
p892;i3;1;0;1
p895;i3;1;1;2
p898;i3;1;1;1
p901;i3;1;1;1
p904;i3;1;1;1
p907;i3;1;0;2
p910;i3;1;1;1
p913;i3;1;0;2
p916;i3;1;1;1
p919;i3;1;1;2
p922;i3;1;1;1
p925;i3;1;1;2
p928;i3;1;0;1
p931;i3;1;1;2
p934;i3;1;1;1
p937;i3;1;1;2
p940;i3;1;1;2
p943;i3;1;0;2
p946;i3;1;1;1
p949;i3;1;1;1
p952;i3;1;1;1
p955;i3;1;1;2
p958;i3;1;1;2
p961;i3;1;1;2
p964;i3;1;1;2
p967;i3;1;1;2
p970;i3;1;0;2
p973;i3;1;1;2
p976;i3;1;1;2
p979;i3;1;1;2
p982;i3;1;1;2
p985;i3;1;0;1
p988;i3;1;1;1
p991;i3;1;1;2
p994;i3;1;1;1
p997;i3;1;1;1
p1000;i3;1;0;1
p1;i4;1;1;1
p4;i4;1;0;1
p7;i4;1;0;1
p10;i4;1;1;2
p13;i4;1;0;1
p16;i4;1;0;2
p19;i4;1;1;2
p22;i4;1;1;1
p25;i4;1;1;2
p28;i4;1;0;1
p31;i4;1;1;1
p34;i4;1;0;2
p37;i4;1;0;1
p40;i4;1;1;1
p43;i4;1;1;2
p46;i4;1;1;1
p49;i4;1;0;2
p52;i4;1;0;1
p55;i4;1;0;1
p58;i4;1;1;2
p61;i4;1;1;2
p64;i4;1;1;2
p67;i4;1;1;2
p70;i4;1;0;2
p73;i4;1;1;2
p76;i4;1;1;1
p79;i4;1;1;1
p82;i4;1;0;2
p85;i4;1;1;2
p88;i4;1;1;1
p91;i4;1;1;1
p94;i4;1;1;2
p97;i4;1;1;1
p100;i4;1;1;2
p103;i4;1;1;2
p106;i4;1;0;2
p109;i4;1;0;2
p112;i4;1;0;2
p115;i4;1;1;2
p118;i4;1;1;2
p121;i4;1;0;1
p124;i4;1;0;2
p127;i4;1;1;1
p130;i4;1;0;2
p133;i4;1;1;2
p136;i4;1;1;2
p139;i4;1;0;1
p142;i4;1;1;2
p145;i4;1;1;1
p148;i4;1;1;2
p151;i4;1;1;1
p154;i4;1;1;2
p157;i4;1;1;2
p160;i4;1;1;1
p163;i4;1;0;1
p166;i4;1;0;1
p169;i4;1;1;1
p172;i4;1;1;2
p175;i4;1;0;2
p178;i4;1;1;1
p181;i4;1;1;2
p184;i4;1;1;2
p187;i4;1;1;1
p190;i4;1;1;1
p193;i4;1;1;2
p196;i4;1;1;1
p199;i4;1;1;1
p202;i4;1;0;2
p205;i4;1;1;1
p208;i4;1;1;2
p211;i4;1;1;1
p214;i4;1;1;1
p217;i4;1;1;1
p220;i4;1;1;1
p223;i4;1;0;1
p226;i4;1;1;2
p229;i4;1;1;1
p232;i4;1;1;1
p235;i4;1;1;1
p238;i4;1;1;1
p241;i4;1;0;2
p244;i4;1;1;2
p247;i4;1;0;1
p250;i4;1;0;2
p253;i4;1;1;2
p256;i4;1;1;2
p259;i4;1;1;2
p262;i4;1;0;2
p265;i4;1;0;1
p268;i4;1;0;1
p271;i4;1;1;1
p274;i4;1;0;2
p277;i4;1;1;1
p280;i4;1;0;2
p283;i4;1;1;2
p286;i4;1;1;2
p289;i4;1;1;1
p292;i4;1;1;1
p295;i4;1;1;1
p298;i4;1;0;2
p301;i4;1;1;2
p304;i4;1;1;2
p307;i4;1;1;1
p310;i4;1;0;1
p313;i4;1;1;1
p316;i4;1;1;2
p319;i4;1;1;2
p322;i4;1;0;2
p325;i4;1;1;2
p328;i4;1;0;2
p331;i4;1;1;1
p334;i4;1;0;1
p337;i4;1;0;1
p340;i4;1;1;2
p343;i4;1;1;1
p346;i4;1;1;1
p349;i4;1;0;1
p352;i4;1;1;1
p355;i4;1;0;2
p358;i4;1;1;2
p361;i4;1;1;1
p364;i4;1;1;1
p367;i4;1;1;2
p370;i4;1;1;1
p373;i4;1;1;2
p376;i4;1;0;1
p379;i4;1;0;1
p382;i4;1;1;2
p385;i4;1;0;1
p388;i4;1;1;2
p391;i4;1;1;1
p394;i4;1;0;1
p397;i4;1;1;1
p400;i4;1;1;1
p403;i4;1;1;1
p406;i4;1;1;2
p409;i4;1;1;1
p412;i4;1;0;2
p415;i4;1;1;1
p418;i4;1;1;2
p421;i4;1;1;2
p424;i4;1;1;1
p427;i4;1;1;1
p430;i4;1;0;1
p433;i4;1;1;1
p436;i4;1;1;2
p439;i4;1;1;2
p442;i4;1;1;2
p445;i4;1;0;1
p448;i4;1;1;2
p451;i4;1;1;2
p454;i4;1;1;2
p457;i4;1;1;1
p460;i4;1;0;2
p463;i4;1;1;1
p466;i4;1;0;1
p469;i4;1;1;1
p472;i4;1;1;1
p475;i4;1;0;1
p478;i4;1;1;2
